00:1B:C5:0B:B0/36,Triax       ,Triax A/S
00:1B:C5:0B:C0/36,kuwatec     ,"kuwatec, Inc."
00:1B:C5:0B:D0/36,BridgeDiagno,"Bridge Diagnostics, Inc."
00:1B:C5:0B:E0/36,YESpayIntern,YESpay International Ltd
00:1B:C5:0B:F0/36,TNCore      ,"TN Core Co.,Ltd."
00:1B:C5:0C:00/36,DigitalLogge,"Digital Loggers, Inc."
00:1B:C5:0C:10/36,EREEElectron,EREE Electronique
00:1B:C5:0C:20/36,TechSolution,TechSolutions A/S
00:1B:C5:0C:30/36,inomatic    ,inomatic GmbH
00:1B:C5:0C:40/36,Eldes       ,Eldes
00:1B:C5:0C:50/36,GillInstrume,Gill Instruments Ltd
00:1B:C5:0C:60/36,CyanConnode ,CyanConnode
00:1B:C5:0C:70/36,WizzilabSas ,Wizzilab Sas
00:1B:C5:0C:80/36,Dialine     ,Dialine
00:1B:C5:0C:90/36,UABKitron   ,UAB Kitron
00:50:C2:00:00/36,TLS         ,T.L.S. Corp.
00:50:C2:00:10/36,JMBSDevelopp,JMBS Developpements
00:50:C2:00:20/36,IntegratedAu,Integrated Automation Solutions
00:50:C2:00:30/36,Microsoft   ,Microsoft
00:50:C2:00:40/36,SCITechnolog,SCI Technology Inc.
00:50:C2:00:50/36,GDCalifornia,"GD California, Inc."
00:50:C2:00:60/36,ProjectManag,"Project Management Enterprises, Inc."
00:50:C2:00:70/36,CliveGreen  ,Clive Green & Co. Ltd.
00:50:C2:00:80/36,PortableAddO,Portable Add-Ons
00:50:C2:00:90/36,Datakinetics,Datakinetics Ltd.
00:50:C2:00:A0/36,Tharsys     ,Tharsys
00:50:C2:00:B0/36,IO          ,IO Limited
00:50:C2:00:C0/36,Vbrick      ,Vbrick Systems Inc.
00:50:C2:00:D0/36,OpusTelecom ,Opus Telecom Inc.
00:50:C2:00:E0/36,TTTech      ,TTTech
00:50:C2:00:F0/36,XLNt        ,XLN-t
00:50:C2:01:00/36,Moisture    ,Moisture Systems
00:50:C2:01:10/36,BihlWiedeman,Bihl + Wiedemann GmbH
