00:00:B8         ,Seikosha    ,"Seikosha Co., Ltd."
00:00:B9         ,McdonnellDou,Mcdonnell Douglas Computer Sys
00:00:BA         ,Siig        ,"Siig, Inc."
00:00:BB         ,TriData     ,Tri-Data
00:00:BC         ,RockwellAuto,Rockwell Automation
00:00:BD         ,RYOSEI      ,"RYOSEI, Ltd."
00:00:BE         ,NtiGroup    ,The Nti Group
00:00:BF         ,SymmetricCom,Symmetric Computer Systems
00:00:C0         ,WesternDigit,Western Digital Corporation
00:00:C1         ,Madge       ,Madge Ltd.
00:00:C2         ,InformationP,Information Presentation Tech.
00:00:C3         ,Harris      ,Harris Corporation
00:00:C4         ,WatersDivMil,Waters Div. Of Millipore
00:00:C5         ,Commscope   ,Commscope
00:00:C6         ,Eon         ,Eon Systems
00:00:C7         ,Arix        ,Arix Corporation
00:00:C8         ,AltosCompute,Altos Computer Systems
00:00:C9         ,Emulex      ,Emulex Corporation
00:00:CA         ,Commscope   ,Commscope
00:00:CB         ,CompuShackEl,Compu-Shack Electronic Gmbh
00:00:CC         ,Densan      ,"Densan Co., Ltd."
00:00:CD         ,AlliedTelesi,Allied Telesis Labs Ltd
00:00:CE         ,Megadata    ,Megadata Corp.
00:00:CF         ,HayesMicroco,Hayes Microcomputer Products
00:00:D0         ,DevelconElec,Develcon Electronics Ltd.
00:00:D1         ,Adaptec     ,Adaptec Incorporated
00:00:D2         ,Sbe         ,"Sbe, Inc."
00:00:D3         ,WangLaborato,Wang Laboratories Inc.
00:00:D4         ,PureData    ,Pure Data Ltd.
00:00:D5         ,MicrognosisI,Micrognosis International
00:00:D6         ,PunchLine   ,Punch Line Holding
00:00:D7         ,DartmouthCol,Dartmouth College
00:00:D8         ,Novell      ,"Novell, Inc."
00:00:D9         ,NipponTelegr,Nippon Telegraph & Telephone
00:00:DA         ,Atex        ,Atex
00:00:DB         ,BritishTelec,British Telecommunications plc
00:00:DC         ,HayesMicroco,Hayes Microcomputer Products
00:00:DD         ,Tcl         ,Tcl Incorporated
00:00:DE         ,Cetia       ,Cetia
00:00:DF         ,BellHowellPu,Bell & Howell Pub Sys Div
00:00:E0         ,Quadram     ,Quadram Corp.
00:00:E1         ,Grid        ,Grid Systems
00:00:E2         ,AcerTechnolo,Acer Technologies Corp.
00:00:E3         ,IntegratedMi,Integrated Micro Products Ltd
00:00:E4         ,In2GroupeInt,In2 Groupe Intertechnique
00:00:E5         ,Sigmex      ,Sigmex Ltd.
00:00:E6         ,AptorProduit,Aptor Produits De Comm Indust
00:00:E7         ,StarGateTech,Star Gate Technologies
00:00:E8         ,AcctonTechno,Accton Technology Corp.
00:00:E9         ,Isicad      ,"Isicad, Inc."
00:00:EA         ,Upnod       ,Upnod Ab
00:00:EB         ,MatsushitaCo,Matsushita Comm. Ind. Co. Ltd.
00:00:EC         ,Microprocess,Microprocess
00:00:ED         ,April       ,April
00:00:EE         ,NetworkDesig,"Network Designers, Ltd."
00:00:EF         ,Kti         ,Kti
00:00:F0         ,SamsungElect,"Samsung Electronics Co.,Ltd"
00:00:F1         ,MagnaCompute,Magna Computer Corporation
00:00:F2         ,SpiderCommun,Spider Communications
00:00:F3         ,GandalfData ,Gandalf Data Limited
00:00:F4         ,AlliedTelesi,"Allied Telesis, Inc."
00:00:F5         ,DiamondSales,Diamond Sales Limited
00:00:F6         ,AppliedMicro,Applied Microsystems Corp.
00:00:F7         ,YouthKeepEnt,Youth Keep Enterprise Co Ltd
00:00:F8         ,DigitalEquip,Digital Equipment Corporation
00:00:F9         ,Quotron     ,Quotron Systems Inc.
00:00:FA         ,MicrosageCom,Microsage Computer Systems Inc
00:00:FB         ,RechnerZurKo,Rechner Zur Kommunikation
00:00:FC         ,Meiko       ,Meiko
00:00:FD         ,HighLevelHar,High Level Hardware
00:00:FE         ,AnnapolisMic,"Annapolis Micro Systems, Inc."
00:00:FF         ,CamtecElectr,Camtec Electronics Ltd.
00:01:00         ,EquipTrans  ,Equip'Trans
00:01:01         ,Private     ,Private
00:01:02         ,3Com        ,3Com
00:01:03         ,3Com        ,3Com
00:01:04         ,DVICO       ,"DVICO Co., Ltd."
00:01:05         ,BeckhoffAuto,Beckhoff Automation GmbH
00:01:06         ,TewsDatentec,Tews Datentechnik GmbH
00:01:07         ,Leiser      ,Leiser GmbH
00:01:08         ,AVLABTechnol,"AVLAB Technology, Inc."
00:01:09         ,NaganoJapanR,"Nagano Japan Radio Co., Ltd."
00:01:0A         ,CisTechnolog,Cis Technology Inc.
00:01:0B         ,SpaceCyberLi,"Space CyberLink, Inc."
00:01:0C         ,SystemTalks ,System Talks Inc.
00:01:0D         ,TeledyneDALS,Teledyne DALSA Inc.
00:01:0E         ,BriLinkTechn,"Bri-Link Technologies Co., Ltd"
00:01:0F         ,BrocadeCommu,Brocade Communications Systems LLC
00:01:10         ,GothamNetwor,Gotham Networks
00:01:11         ,iDigm       ,iDigm Inc.
00:01:12         ,SharkMultime,Shark Multimedia Inc.
00:01:13         ,Olympus     ,Olympus Corporation
00:01:14         ,KandaTsushin,"Kanda Tsushin Kogyo Co., Ltd."
00:01:15         ,Extratech   ,Extratech Corporation
00:01:16         ,NetspectTech,"Netspect Technologies, Inc."
00:01:17         ,Canal       ,Canal +
00:01:18         ,EZDigital   ,"EZ Digital Co., Ltd."
00:01:19         ,RTUnet      ,RTUnet (Australia)
00:01:1A         ,HoffmannundB,Hoffmann und Burmeister GbR
00:01:1B         ,UnizoneTechn,"Unizone Technologies, Inc."
00:01:1C         ,UniversalTal,Universal Talkware Corporation
00:01:1D         ,CentilliumCo,Centillium Communications
00:01:1E         ,PrecidiaTech,"Precidia Technologies, Inc."
00:01:1F         ,RCNetworks  ,"RC Networks, Inc."
00:01:20         ,Oscilloquart,Oscilloquartz S.A.
00:01:21         ,WatchGuardTe,"WatchGuard Technologies, Inc."
00:01:22         ,TrendCommuni,"Trend Communications, Ltd."
00:01:23         ,SchneiderEle,Schneider Electric Japan Holdings Ltd.
00:01:24         ,Acer        ,Acer Incorporated
00:01:25         ,YaesuMusen  ,"Yaesu Musen Co., Ltd."
00:01:26         ,PACLabs     ,PAC Labs
00:01:27         ,OPENNetworks,OPEN Networks Pty Ltd
00:01:28         ,EnjoyWeb    ,"EnjoyWeb, Inc."
00:01:29         ,DFI         ,DFI Inc.
00:01:2A         ,TelematicaSi,Telematica Sistems Inteligente
00:01:2B         ,TELENET     ,"TELENET Co., Ltd."
00:01:2C         ,AravoxTechno,"Aravox Technologies, Inc."
00:01:2D         ,KomodoTechno,Komodo Technology
00:01:2E         ,PCPartner   ,PC Partner Ltd.
00:01:2F         ,TwinheadInte,Twinhead International Corp
00:01:30         ,ExtremeNetwo,Extreme Networks Headquarters
00:01:31         ,BoschSecurit,"Bosch Security Systems, Inc."
00:01:32         ,DranetzBMI  ,Dranetz - BMI
00:01:33         ,KYOWAElectro,KYOWA Electronic Instruments C
00:01:34         ,Selectron   ,Selectron Systems AG
00:01:35         ,KDC         ,KDC Corp.
00:01:36         ,CyberTANTech,CyberTAN Technology Inc.
00:01:37         ,ITFarm      ,IT Farm Corporation
00:01:38         ,XAViTechnolo,XAVi Technologies Corp.
00:01:39         ,PointMultime,Point Multimedia Systems
00:01:3A         ,ShelcadCommu,"Shelcad Communications, Ltd."
00:01:3B         ,Bna         ,Bna Systems
00:01:3C         ,Tiw         ,Tiw Systems
00:01:3D         ,RiscStation ,RiscStation Ltd.
00:01:3E         ,AscomTateco ,Ascom Tateco AB
00:01:3F         ,NeighborWorl,"Neighbor World Co., Ltd."
00:01:40         ,Sendtek     ,Sendtek Corporation
00:01:41         ,CablePrint  ,Cable Print
00:01:42         ,Cisco       ,"Cisco Systems, Inc"
00:01:43         ,Cisco       ,"Cisco Systems, Inc"
00:01:44         ,DellEMC     ,Dell EMC
00:01:45         ,Winsystems  ,"Winsystems, Inc."
00:01:46         ,TescoControl,"Tesco Controls, Inc."
00:01:47         ,DZS         ,DZS Inc.
00:01:48         ,XtraWeb     ,X-traWeb Inc.
00:01:49         ,Tdt         ,Tdt Ag
00:01:4A         ,Sony        ,Sony Corporation
00:01:4B         ,EnnovateNetw,"Ennovate Networks, Inc."
00:01:4C         ,BerkeleyProc,Berkeley Process Control
00:01:4D         ,ShinKinEnter,"Shin Kin Enterprises Co., Ltd"
00:01:4E         ,WINEnterpris,"WIN Enterprises, Inc."
00:01:4F         ,Adtran      ,Adtran Inc
00:01:50         ,GilatCommuni,"Gilat Communications, Ltd."
00:01:51         ,EnsembleComm,Ensemble Communications
00:01:52         ,Chromatek   ,Chromatek Inc.
00:01:53         ,ArchtekTelec,Archtek Telecom Corporation
00:01:54         ,G3M         ,G3M Corporation
00:01:55         ,PromiseTechn,"Promise Technology, Inc."
00:01:56         ,Firewiredire,"Firewiredirect.Com, Inc."
00:01:57         ,Syswave     ,"Syswave Co., Ltd"
00:01:58         ,ElectroIndus,Electro Industries/Gauge Tech
00:01:59         ,S1          ,S1 Corporation
00:01:5A         ,DigitalVideo,Digital Video Broadcasting
00:01:5B         ,ITALTELRFUPI,ITALTEL S.p.A/RF-UP-I
00:01:5C         ,Cadant      ,Cadant Inc.
00:01:5D         ,Oracle      ,Oracle Corporation
00:01:5E         ,BestTechnolo,"Best Technology Co., Ltd."
00:01:5F         ,DIGITALDESIG,DIGITAL DESIGN GmbH
00:01:60         ,ELMEX       ,"ELMEX Co., LTD."
00:01:61         ,MetaMachineT,Meta Machine Technology
00:01:62         ,CygnetTechno,"Cygnet Technologies, Inc."
00:01:63         ,Cisco       ,"Cisco Systems, Inc"
00:01:64         ,Cisco       ,"Cisco Systems, Inc"
00:01:65         ,AirSwitch   ,AirSwitch Corporation
00:01:66         ,TcGroup     ,Tc Group A/S
00:01:67         ,HiokiEE     ,Hioki E.E. Corporation
00:01:68         ,Vitana      ,Vitana Corporation
00:01:69         ,CelestixNetw,Celestix Networks Pte Ltd.
00:01:6A         ,Alitec      ,Alitec
00:01:6B         ,LightChip   ,"LightChip, Inc."
00:01:6C         ,Foxconn     ,Foxconn
00:01:6D         ,CarrierComm ,CarrierComm Inc.
00:01:6E         ,Conklin     ,Conklin Corporation
00:01:6F         ,Inkel       ,Inkel Corp.
00:01:70         ,ESEEmbeddedS,ESE Embedded System Engineer'g
00:01:71         ,AlliedDataTe,Allied Data Technologies
00:01:72         ,TechnoLand  ,"TechnoLand Co., LTD."
00:01:73         ,Amcc        ,Amcc
00:01:74         ,CyberOptics ,CyberOptics Corporation
00:01:75         ,RadiantCommu,Radiant Communications Corp.
00:01:76         ,OrientSilver,Orient Silver Enterprises
00:01:77         ,Edsl        ,Edsl
00:01:78         ,MARGI       ,"MARGI Systems, Inc."
00:01:79         ,WirelessTech,"Wireless Technology, Inc."
00:01:7A         ,MaipuElectri,"Chengdu Maipu Electric Industrial Co., Ltd."
00:01:7B         ,Heidelberger,Heidelberger Druckmaschinen AG
00:01:7C         ,AGE         ,AG-E GmbH
00:01:7D         ,ThermoQuest ,ThermoQuest
00:01:7E         ,ADTEKSystemS,"ADTEK System Science Co., Ltd."
00:01:7F         ,ExperienceMu,Experience Music Project
00:01:80         ,AOpen       ,"AOpen, Inc."
00:01:81         ,NortelNetwor,Nortel Networks
00:01:82         ,DicaTechnolo,Dica Technologies Ag
00:01:83         ,AniteTelecom,Anite Telecoms
00:01:84         ,SiebMeyer   ,Sieb & Meyer Ag
00:01:85         ,HitachiAloka,"Hitachi Aloka Medical, Ltd."
00:01:86         ,UweDisch    ,Uwe Disch
00:01:87         ,I2SE        ,I2SE GmbH
00:01:88         ,LXCOTechnolo,LXCO Technologies ag
00:01:89         ,RefractionTe,"Refraction Technology, Inc."
00:01:8A         ,RoiComputer ,Roi Computer Ag
00:01:8B         ,NetLinks    ,"NetLinks Co., Ltd."
00:01:8C         ,MegaVision  ,Mega Vision
00:01:8D         ,AudeSiTechno,AudeSi Technologies
00:01:8E         ,Logitec     ,Logitec Corporation
00:01:8F         ,Kenetec     ,"Kenetec, Inc."
00:01:90         ,SmkM        ,Smk-M
00:01:91         ,SYREDData   ,SYRED Data Systems
00:01:92         ,TexasDigital,Texas Digital Systems
00:01:93         ,HanbyulTelec,"Hanbyul Telecom Co., Ltd."
00:01:94         ,CapitalEquip,Capital Equipment Corporation
00:01:95         ,SenaTechnolo,"Sena Technologies, Inc."
00:01:96         ,Cisco       ,"Cisco Systems, Inc"
00:01:97         ,Cisco       ,"Cisco Systems, Inc"
00:01:98         ,DarimVision ,Darim Vision
00:01:99         ,HeiSeiElectr,HeiSei Electronics
00:01:9A         ,LEUNIG      ,LEUNIG GmbH
00:01:9B         ,KyotoMicroco,"Kyoto Microcomputer Co., Ltd."
00:01:9C         ,Lumentum    ,Lumentum
00:01:9D         ,EControl    ,"E-Control Systems, Inc."
00:01:9E         ,ESSTechnolog,"ESS Technology, Inc."
00:01:9F         ,ReadyNet    ,ReadyNet
00:01:A0         ,Infinilink  ,Infinilink Corporation
00:01:A1         ,MagTek      ,"Mag-Tek, Inc."
00:01:A2         ,Logical     ,"Logical Co., Ltd."
00:01:A3         ,GenesysLogic,"Genesys Logic, Inc."
00:01:A4         ,Microlink   ,Microlink Corporation
00:01:A5         ,Nextcomm    ,"Nextcomm, Inc."
00:01:A6         ,ScientificAt,Scientific-Atlanta Arcodan A/S
00:01:A7         ,UnexTechnolo,Unex Technology Corporation
00:01:A8         ,WelltechComp,"Welltech Computer Co., Ltd."
00:01:A9         ,Bmw         ,Bmw Ag
00:01:AA         ,AirspanCommu,"Airspan Communications, Ltd."
00:01:AB         ,MainStreetNe,Main Street Networks
00:01:AC         ,SitaraNetwor,"Sitara Networks, Inc."
00:01:AD         ,CoachMasterI,"Coach Master International d.b.a. CMI Worldwide, Inc."
00:01:AE         ,TrexEnterpri,Trex Enterprises
00:01:AF         ,ArtesynEmbed,Artesyn Embedded Technologies
00:01:B0         ,FulltekTechn,"Fulltek Technology Co., Ltd."
00:01:B1         ,GeneralBandw,General Bandwidth
00:01:B2         ,DigitalProce,"Digital Processing Systems, Inc."
00:01:B3         ,PrecisionEle,Precision Electronic Manufacturing
00:01:B4         ,Wayport     ,"Wayport, Inc."
00:01:B5         ,TurinNetwork,"Turin Networks, Inc."
00:01:B6         ,SAEJINT&M   ,"SAEJIN T&M Co., Ltd."
00:01:B7         ,Centos      ,"Centos, Inc."
00:01:B8         ,Netsensity  ,"Netsensity, Inc."
00:01:B9         ,SKF         ,SKF (U.K.) Limited
00:01:BA         ,ICNet       ,"IC-Net, Inc."
00:01:BB         ,Frequentis  ,Frequentis
00:01:BC         ,Brains      ,Brains Corporation
00:01:BD         ,PetersonElec,"Peterson Electro-Musical Products, Inc."
00:01:BE         ,Gigalink    ,"Gigalink Co., Ltd."
00:01:BF         ,Teleforce   ,"Teleforce Co., Ltd."
00:01:C0         ,CompuLab    ,"CompuLab, Ltd."
00:01:C1         ,VitesseSemic,Vitesse Semiconductor Corporation
00:01:C2         ,ARKResearch ,ARK Research Corp.
00:01:C3         ,Acromag     ,"Acromag, Inc."
00:01:C4         ,NeoWave     ,"NeoWave, Inc."
00:01:C5         ,SimplerNetwo,Simpler Networks
00:01:C6         ,QuarryTechno,Quarry Technologies
00:01:C7         ,Cisco       ,"Cisco Systems, Inc"
00:01:C8         ,ThomasConrad,Thomas Conrad Corp.
00:01:C9         ,Cisco       ,"Cisco Systems, Inc"
00:01:CA         ,GeocastNetwo,"Geocast Network Systems, Inc."
00:01:CB         ,Evr         ,Evr
